barrier_idx,mu,mu_star,sigma,n_effects
0,6.37987863424859e-05,6.37987863424859e-05,4.6040919037731395e-05,67
1,3.183666192049298e-05,3.183666192049298e-05,3.939922533260707e-05,66
2,3.6359129809284966e-05,3.6359129809284966e-05,2.606330616570044e-05,77
3,5.242447256135814e-05,5.242447256135814e-05,4.151575469830018e-05,69
4,5.3850007777726835e-05,5.3850007777726835e-05,4.3948779969089125e-05,80
5,5.03258603557106e-05,5.03258603557106e-05,4.2330390397443766e-05,68
6,6.428348140832653e-05,6.428348140832653e-05,6.313183057093752e-05,74
7,3.9049362360775315e-05,3.9049362360775315e-05,3.388804799826479e-05,70
8,7.292796528313644e-05,7.292796528313644e-05,6.914092228680851e-05,72
9,4.745141740892725e-05,4.745141740892725e-05,3.8544807297863964e-05,76
10,5.8822059605481304e-05,5.8822059605481304e-05,4.616409818779154e-05,79
