step,barriers_removed,barrier_key,barrier_name,success_probability,cumulative_cost
0,0,baseline,Baseline (all barriers),1.8009337500000003e-05,0
1,1,awareness_gap,Awareness Gap,6.0031125000000024e-05,100
2,2,error_detection,Error Detection Difficulty,0.00017151750000000003,400
3,3,legal_knowledge,Legal Knowledge Gap,0.0006860700000000001,900
4,4,rapid_transmission,Rapid Data Transmission,0.0022869000000000006,1400
5,5,record_access,Record Access Barriers,0.004158000000000001,1600
6,6,correction_process,Correction Process Barriers,0.011880000000000003,2400
7,7,incomplete_propagation,Incomplete Correction Propagation,0.029700000000000004,3900
8,8,multi_system_integration,Multi-System Integration,0.054000000000000006,4900
9,9,permanent_storage,Permanent Storage,0.12,6900
10,10,legal_resources,Legal Resource Barriers,0.3,11900
11,11,systemic_bias,Systemic Bias in Algorithms,1.0,21900
