topology,param,rho,base,three_way_share,three_way_abs,max_single_barrier_gain,max_single_layer_gain,total_gain
copula_equicorrelation,0.0,0.0,2e-05,0.876237524750495,0.87622,9e-05,0.00357,0.99998
copula_equicorrelation,0.05,0.05,0.00011,0.8604946544119854,0.8603999999999999,0.00028,0.00641,0.99989
copula_equicorrelation,0.1,0.1,0.00049,0.8453142039599404,0.8449,0.0007099999999999999,0.009659999999999998,0.99951
copula_equicorrelation,0.15,0.15,0.00143,0.8316692870805251,0.8304799999999999,0.0011499999999999998,0.01402,0.99857
copula_equicorrelation,0.2,0.2,0.00288,0.8191391206675225,0.8167800000000001,0.0018499999999999996,0.01848,0.99712
copula_equicorrelation,0.25,0.25,0.00525,0.8083739633073637,0.80413,0.0027599999999999994,0.023129999999999998,0.99475
copula_equicorrelation,0.3,0.3,0.00835,0.7989512428780317,0.7922800000000001,0.0037599999999999995,0.027440000000000003,0.99165
copula_equicorrelation,0.35,0.35,0.01237,0.7909034759980965,0.78112,0.00498,0.03229,0.98763
copula_equicorrelation,0.4,0.4,0.01778,0.7845391052920935,0.77059,0.006059999999999999,0.037070000000000006,0.98222
copula_equicorrelation,0.45,0.45,0.02429,0.7785612528312715,0.7596499999999999,0.006760000000000002,0.041089999999999995,0.97571
copula_equicorrelation,0.5,0.5,0.032,0.7737706611570248,0.74901,0.008210000000000002,0.044950000000000004,0.968
copula_block,0.0,0.0,2e-05,0.876237524750495,0.87622,9e-05,0.00357,0.99998
copula_block,0.05,0.05,4e-05,0.8571942877715109,0.8571599999999999,0.00010999999999999999,0.00455,0.99996
copula_block,0.1,0.1,5e-05,0.8374818740937047,0.83744,0.00016,0.00579,0.99995
copula_block,0.15,0.15,8e-05,0.8168853508280662,0.81682,0.00023,0.00736,0.99992
copula_block,0.2,0.2,0.0002,0.7957291458291659,0.7955700000000001,0.00030000000000000003,0.009049999999999999,0.9998
copula_block,0.25,0.25,0.00026,0.7740812611278933,0.77388,0.0003800000000000001,0.010790000000000001,0.99974
copula_block,0.3,0.3,0.0004,0.7524909963985594,0.75219,0.0005399999999999999,0.01267,0.9996
copula_block,0.35,0.35,0.00057,0.7297359494912099,0.72932,0.00067,0.014950000000000001,0.99943
copula_block,0.4,0.4,0.00084,0.7070339084831259,0.7064400000000001,0.00089,0.01732,0.99916
copula_block,0.45,0.45,0.00123,0.6835908167045466,0.68275,0.0011600000000000002,0.020020000000000003,0.99877
copula_block,0.5,0.5,0.00151,0.6595459143306392,0.65855,0.0014199999999999998,0.022879999999999998,0.99849
repeated_attempt,1.0,,1.8009337500000013e-05,0.8760461051724736,,5.4028012500000037e-05,0.003620240662500001,0.9999819906625
repeated_attempt,2.0,,0.003516884504152504,0.5325668960672478,,0.004521708648196076,0.05703519059859749,0.9964831154958474
repeated_attempt,3.0,,0.03651356160908855,0.2517734691537014,,0.026645031444470023,0.16883018772773895,0.9634864383909114
