barrier_idx,mu,mu_star,sigma,n_effects
0,5.741029093685624e-05,5.741029093685624e-05,4.230128751883666e-05,74
1,3.4852709785183466e-05,3.4852709785183466e-05,2.5699185573835655e-05,76
2,3.5472904001665234e-05,3.5472904001665234e-05,2.4702789458124824e-05,76
3,5.18084041009249e-05,5.18084041009249e-05,4.1230156404770886e-05,74
4,5.139685859773658e-05,5.139685859773658e-05,4.787704455845412e-05,77
5,4.4407203533601076e-05,4.4407203533601076e-05,3.751362860231329e-05,75
6,5.781092809552449e-05,5.781092809552449e-05,5.004799598367901e-05,75
7,2.919023454462657e-05,2.919023454462657e-05,2.376365925591008e-05,76
8,7.632349293737045e-05,7.632349293737045e-05,7.253043032672525e-05,70
9,4.3558842271978575e-05,4.3558842271978575e-05,3.097317739752587e-05,80
10,6.1014193878012246e-05,6.1014193878012246e-05,5.706141808199394e-05,75
